t_start,t_end,Mean(R),Std(R),Quantile.0.025(R),Quantile.0.05(R),Quantile.0.25(R),Median(R),Quantile.0.75(R),Quantile.0.95(R),Quantile.0.975(R),country,state,city
2020-04-26,2020-05-02,1.3157555241599035,0.006769576010776468,1.302520418641513,1.304640398736572,1.32691025172227,1.315743914331523,1.32691025172227,1.32691025172227,1.3290566073547336,Brazil,,
2020-04-27,2020-05-03,1.2365153245587117,0.00628336914886322,1.224230416838763,1.2261982859476328,1.2468686673447114,1.2365046815668932,1.2468686673447114,1.2468686673447114,1.248860715504881,Brazil,,
2020-04-28,2020-05-04,1.2296248898021964,0.006059765825579709,1.2177762774807912,1.2196744686274854,1.2396092664665304,1.2296149353547559,1.2396092664665304,1.2396092664665304,1.2415300724112062,Brazil,,
2020-04-29,2020-05-05,1.1992916149596153,0.0058366081817037225,1.187879000829057,1.189707424636102,1.2089081026603261,1.1992821466071235,1.2089081026603261,1.2089081026603261,1.2107580369414759,Brazil,,
2020-04-30,2020-05-06,1.2767673538982431,0.00589386757797887,1.265241376957824,1.2670882969319113,1.286477346568879,1.2767582847359158,1.286477346568879,1.286477346568879,1.2883448701273619,Brazil,,
2020-03-08,2020-03-14,5.681552063527861,2.0087319958924867,2.452890916360546,2.827156489426551,9.337711638213419,5.446654999468793,9.337711638213419,9.337711638213419,10.242897620359072,Brazil,DF,
2020-03-09,2020-03-15,8.059099534890844,2.153884950390769,4.405984709272936,4.872265353471274,11.897861101781682,7.86804971502966,11.897861101781682,11.897861101781682,12.796926671748109,Brazil,DF,
2020-03-10,2020-03-16,7.249051167534363,1.6630463934651487,4.364402343066306,4.7469656874429615,10.183684670527727,7.1222791367531775,10.183684670527727,10.183684670527727,10.8536457779506,Brazil,DF,
2020-03-11,2020-03-18,7.511372434054722,1.2881897449188275,5.20184376718967,5.525302958989054,9.748233122636204,7.437861259639687,9.748233122636204,9.748233122636204,10.23850196073081,Brazil,DF,
2020-03-12,2020-03-19,5.387851189305297,0.8414409887298084,3.866415035150326,4.082433365361687,6.842488105204076,5.344111397570362,6.842488105204076,6.842488105204076,7.157779617676878,Brazil,DF,
2020-03-13,2020-03-20,6.875395192556394,0.7413929304829444,5.499428687960614,5.703024497786858,8.138609899905118,6.848764814678006,8.138609899905118,8.138609899905118,8.402677598119629,Brazil,DF,
2020-03-14,2020-03-21,5.469380283543238,0.5287449492568166,4.482289133181961,4.629686478663268,6.367164642398249,5.4523511842873456,6.367164642398249,6.367164642398249,6.553234929087723,Brazil,DF,
2020-03-15,2020-03-22,3.4974752454300355,0.33347118033300854,2.874499298100929,2.9676255509098324,4.063459200583804,3.4868825641413226,4.063459200583804,4.063459200583804,4.180641586606929,Brazil,DF,
2020-03-16,2020-03-23,2.6136072499087133,0.23376813909128658,2.175543655687253,2.241341452311381,3.009636707513824,2.606640944348452,3.009636707513824,3.009636707513824,3.09125576929455,Brazil,DF,
2020-03-18,2020-03-24,2.1994716613702003,0.18392906030578515,1.8537589382286948,1.9059284909034182,2.510496752770888,2.194346817848092,2.510496752770888,2.510496752770888,2.574305866903652,Brazil,DF,
2020-03-19,2020-03-25,1.989449747572001,0.15630593414866967,1.6948878470928854,1.739517937844942,2.253340230750656,1.9853577303495245,2.253340230750656,2.253340230750656,2.3072644261616535,Brazil,DF,
2020-03-20,2020-03-26,1.6409667693590566,0.12972981389557056,1.396549925664651,1.4335679711240656,1.8600230339435893,1.6375493576583329,1.8600230339435893,1.8600230339435893,1.904802944348629,Brazil,DF,
2020-03-21,2020-03-27,1.3653266420986592,0.10966567491991873,1.1588465513268211,1.1900874640181693,1.5505779039079588,1.3623915809734057,1.5505779039079588,1.5505779039079588,1.588485079929411,Brazil,DF,
2020-03-22,2020-03-28,1.1990675587471091,0.09693886660717334,1.0165990631154422,1.044195468295112,1.3628474364679506,1.1964562253427955,1.3628474364679506,1.3628474364679506,1.3963748179619793,Brazil,DF,
2020-03-23,2020-03-29,1.3201017493829867,0.09785245196532631,1.1352740922443783,1.163376625237738,1.4850716373032773,1.3176847694174205,1.4850716373032773,1.4850716373032773,1.5186639486487017,Brazil,DF,
2020-03-24,2020-03-30,1.208533852234697,0.0913565721147397,1.036106186626584,1.062292946456673,1.36262454340239,1.2062326641221628,1.36262454340239,1.36262454340239,1.3940380337165066,Brazil,DF,
2020-03-25,2020-03-31,1.1394721751487347,0.0866324652444151,0.9759975427999732,1.000816041139785,1.2856150547332157,1.1372774139978503,1.2856150547332157,1.2856150547332157,1.315418541033447,Brazil,DF,
2020-03-26,2020-04-01,1.1094592722750423,0.08362863923447879,0.9515999353084502,0.9755782658808476,1.2505056132564873,1.1073587326127332,1.2505056132564873,1.2505056132564873,1.2792549439597005,Brazil,DF,
2020-03-27,2020-04-02,1.2208232999466582,0.08632524340228205,1.057482530404243,1.0823849106391301,1.3662003663511846,1.2187891984234314,1.3662003663511846,1.3662003663511846,1.3957229689437711,Brazil,DF,
2020-03-28,2020-04-03,1.065592317192147,0.07964610924362628,0.9152014004862012,0.9380567562115688,1.1998945961310974,1.0636086322290086,1.1998945961310974,1.1998945961310974,1.227255554409966,Brazil,DF,
2020-03-29,2020-04-04,1.1375992290155306,0.08105058913587697,0.9842811146976249,1.0076456219598684,1.2741169351948458,1.135674937314794,1.2741169351948458,1.2741169351948458,1.3018522315602536,Brazil,DF,
2020-03-30,2020-04-05,0.9633306528592896,0.07366773622857377,0.8243520879514342,0.845444223921785,1.0876205185857537,0.9614534674753314,1.0876205185857537,1.0876205185857537,1.112976317373455,Brazil,DF,
2020-03-31,2020-04-06,0.9612483336830449,0.07287204811585972,0.8237239792565877,0.8446063557850774,1.084169775781585,0.9594074902469006,1.084169775781585,1.084169775781585,1.1092332881122846,Brazil,DF,
2020-04-01,2020-04-07,0.9397956700933418,0.07186797111428012,0.8042124690932311,0.8247893063392177,1.06104902925877,0.9379643459362934,1.06104902925877,1.06104902925877,1.0857853644326911,Brazil,DF,
2020-04-02,2020-04-08,0.7752196516045242,0.0655180186902722,0.6521290085764722,0.6706906870106135,0.8860422289284441,0.7733746738424407,0.8860422289284441,0.8860422289284441,0.9087942020625891,Brazil,DF,
2020-04-03,2020-04-09,0.7199436934869525,0.06363463346713917,0.6006317774106201,0.6185678184346033,0.827712146195773,0.7180697105835512,0.827712146195773,0.827712146195773,0.8499042452357808,Brazil,DF,
2020-04-04,2020-04-10,0.8043232568935339,0.06846854252717674,0.6757301043121917,0.6951120730260654,0.9201589295850642,0.8023812835742877,0.9201589295850642,0.9201589295850642,0.9439514702425971,Brazil,DF,
2020-04-05,2020-04-11,0.8438800517515047,0.07209753844083146,0.7084929529232092,0.7288938583646118,0.9658672396217852,0.8418277061100179,0.9658672396217852,0.9658672396217852,0.9909293827111522,Brazil,DF,
2020-04-06,2020-04-12,0.982381221581365,0.07994505002364279,0.8319418052971964,0.854684485261182,1.1174726258141714,0.9802134627339084,1.1174726258141714,1.1174726258141714,1.1451387990048614,Brazil,DF,
2020-04-07,2020-04-13,1.0639885270527731,0.08491552886648421,0.9040659439678925,0.9282724800167279,1.2074075553167178,1.0617303826943,1.2074075553167178,1.2074075553167178,1.236742922844205,Brazil,DF,
2020-04-08,2020-04-14,1.027518919570489,0.0841776297849381,0.8691593179719941,0.8930889456003024,1.1697871059679517,1.0252211359913113,1.1697871059679517,1.1697871059679517,1.1989355253902358,Brazil,DF,
2020-04-09,2020-04-15,1.236548812985328,0.09216690677772894,1.062497015147237,1.0889525295372098,1.3919538104495168,1.2342596631841447,1.3919538104495168,1.3919538104495168,1.423608745131749,Brazil,DF,
2020-04-10,2020-04-16,1.3640351194357085,0.09621161913711365,1.181971348927391,1.2097320154765911,1.5260522999582145,1.3617737061009358,1.5260522999582145,1.5260522999582145,1.558949505960396,Brazil,DF,
2020-04-11,2020-04-17,1.320473167105765,0.09313899592769696,1.144223802091035,1.1710979014136051,1.477316151895339,1.318283974477398,1.477316151895339,1.477316151895339,1.5091627496695974,Brazil,DF,
2020-04-12,2020-04-18,1.271965303130852,0.08883791028743221,1.1037953896037935,1.1294514805797604,1.4215321948563344,1.2698976657949272,1.4215321948563344,1.4215321948563344,1.4518847034878752,Brazil,DF,
2020-04-13,2020-04-19,1.4164070244655034,0.09086255298413724,1.243903102716619,1.2703378110378216,1.5691023155418418,1.4144645538305818,1.5691023155418418,1.5691023155418418,1.5999492717393504,Brazil,DF,
2020-04-14,2020-04-20,1.2929647140803113,0.08434371804621044,1.1329253477712837,1.1574292789466227,1.4347546151491681,1.2911311847693072,1.4347546151491681,1.4347546151491681,1.463423315086688,Brazil,DF,
2020-04-15,2020-04-21,1.357031065594819,0.0836781202348821,1.1979654296964652,1.2223880436672983,1.497539737421991,1.355311515690823,1.497539737421991,1.497539737421991,1.5258682916373087,Brazil,DF,
2020-04-16,2020-04-22,1.3183770361978477,0.07993834962694829,1.166340861649345,1.1897028294454353,1.4525612960772754,1.3167617305330934,1.4525612960772754,1.4525612960772754,1.4795924326177579,Brazil,DF,
2020-04-17,2020-04-23,1.1028315577229233,0.07089269754294568,0.9682497960242571,0.9888711395354489,1.2219724337176523,1.1013128785266018,1.2219724337176523,1.2219724337176523,1.2460433967163014,Brazil,DF,
2020-04-18,2020-04-24,1.106039241210926,0.06899283228711389,0.9749369798252351,0.9950549657010523,1.2219158655757403,1.1046050209159641,1.2219158655757403,1.2219158655757403,1.2452916569444419,Brazil,DF,
2020-04-19,2020-04-25,0.9340618630460176,0.062270790869734506,0.8159916442417657,0.8340493691273465,1.0387934667996919,0.9326784327413397,1.0387934667996919,1.0387934667996919,1.0599935599132764,Brazil,DF,
2020-04-20,2020-04-26,1.083939679311594,0.06646060590146564,0.9575807847802232,0.9769869252864494,1.195524839010536,1.0825816619324056,1.195524839010536,1.195524839010536,1.218015707507647,Brazil,DF,
2020-04-21,2020-04-27,1.2816142512708146,0.07221078249214874,1.1439758354789222,1.1651957242163036,1.4026581182449027,1.2802583011453685,1.4026581182449027,1.4026581182449027,1.4269581103654456,Brazil,DF,
2020-04-22,2020-04-28,1.2839947187051015,0.0720028484251068,1.1467341127527675,1.1679001014358656,1.4046795581131304,1.282649063388875,1.4046795581131304,1.4046795581131304,1.4289022686596864,Brazil,DF,
2020-04-23,2020-04-29,1.3817997229460937,0.0733383145320736,1.241780717358408,1.263422002468857,1.5046025328354993,1.3805024752227923,1.5046025328354993,1.5046025328354993,1.5291906177315482,Brazil,DF,
2020-04-24,2020-04-30,1.6798440991836125,0.07866590744823017,1.5291800428072517,1.5525781245971906,1.8112982420237345,1.678616302677,1.8112982420237345,1.8112982420237345,1.8374854284142363,Brazil,DF,
2020-04-25,2020-05-01,1.8370846213882024,0.07942409420604388,1.6846936757466995,1.708424706849663,1.9696484745585026,1.8359401472462182,1.9696484745585026,1.9696484745585026,1.9959793655477494,Brazil,DF,
2020-04-26,2020-05-02,1.8154788568781917,0.07499674031336938,1.6714439489499704,1.693906449933394,1.9405735529963117,1.8144462657791272,1.9405735529963117,1.9405735529963117,1.96538176832153,Brazil,DF,
2020-04-27,2020-05-03,1.6199953276370906,0.0663575941746003,1.4925301303736598,1.5124137881867983,1.730667159701789,1.6190893801227753,1.730667159701789,1.730667159701789,1.7526088407535614,Brazil,DF,
2020-04-28,2020-05-04,1.4387437051480008,0.058493249580197165,1.3263678088528619,1.3439016969219444,1.5362894273783763,1.4379510865825365,1.5362894273783763,1.5362894273783763,1.5556238933039823,Brazil,DF,
2020-04-29,2020-05-05,1.2910156446622418,0.052357598144789096,1.1904223700852745,1.2061190199091851,1.378326400267715,1.2903079200245717,1.378326400267715,1.378326400267715,1.3956307764011795,Brazil,DF,
2020-04-30,2020-05-06,1.4305334750546703,0.052801954066155045,1.3289016920609478,1.3448040311165004,1.5184787747388975,1.429883875634174,1.5184787747388975,1.5184787747388975,1.535856814449543,Brazil,DF,
1,2020-03-08,2020-03-14,5.681552063527861,2.0087319958924867,2.452890916360546,2.827156489426551,9.337711638213419,5.446654999468793,9.337711638213419,9.337711638213419,10.242897620359072,Brazil,DF,Brasília
2,2020-03-09,2020-03-15,8.059099534890844,2.153884950390769,4.405984709272936,4.872265353471274,11.897861101781682,7.86804971502966,11.897861101781682,11.897861101781682,12.796926671748109,Brazil,DF,Brasília
3,2020-03-10,2020-03-16,7.249051167534363,1.6630463934651487,4.364402343066306,4.7469656874429615,10.183684670527727,7.1222791367531775,10.183684670527727,10.183684670527727,10.8536457779506,Brazil,DF,Brasília
4,2020-03-11,2020-03-18,7.511372434054722,1.2881897449188275,5.20184376718967,5.525302958989054,9.748233122636204,7.437861259639687,9.748233122636204,9.748233122636204,10.23850196073081,Brazil,DF,Brasília
5,2020-03-12,2020-03-19,5.387851189305297,0.8414409887298084,3.866415035150326,4.082433365361687,6.842488105204076,5.344111397570362,6.842488105204076,6.842488105204076,7.157779617676878,Brazil,DF,Brasília
6,2020-03-13,2020-03-20,6.875395192556394,0.7413929304829444,5.499428687960614,5.703024497786858,8.138609899905118,6.848764814678006,8.138609899905118,8.138609899905118,8.402677598119629,Brazil,DF,Brasília
7,2020-03-14,2020-03-21,5.469380283543238,0.5287449492568166,4.482289133181961,4.629686478663268,6.367164642398249,5.4523511842873456,6.367164642398249,6.367164642398249,6.553234929087723,Brazil,DF,Brasília
8,2020-03-15,2020-03-22,3.4974752454300355,0.33347118033300854,2.874499298100929,2.9676255509098324,4.063459200583804,3.4868825641413226,4.063459200583804,4.063459200583804,4.180641586606929,Brazil,DF,Brasília
9,2020-03-16,2020-03-23,2.6136072499087133,0.23376813909128658,2.175543655687253,2.241341452311381,3.009636707513824,2.606640944348452,3.009636707513824,3.009636707513824,3.09125576929455,Brazil,DF,Brasília
10,2020-03-18,2020-03-24,2.1994716613702003,0.18392906030578515,1.8537589382286948,1.9059284909034182,2.510496752770888,2.194346817848092,2.510496752770888,2.510496752770888,2.574305866903652,Brazil,DF,Brasília
11,2020-03-19,2020-03-25,1.989449747572001,0.15630593414866967,1.6948878470928854,1.739517937844942,2.253340230750656,1.9853577303495245,2.253340230750656,2.253340230750656,2.3072644261616535,Brazil,DF,Brasília
12,2020-03-20,2020-03-26,1.5794305155080919,0.1272741379478865,1.3398292172215758,1.3760739330538696,1.7944444099726242,1.5760131533686863,1.7944444099726242,1.7944444099726242,1.8384508033896534,Brazil,DF,Brasília
13,2020-03-21,2020-03-27,1.3136424888232765,0.10761778589941048,1.1111859722465631,1.1417790591431094,1.4955267645285433,1.310704862973049,1.4955267645285433,1.4955267645285433,1.5327918712879982,Brazil,DF,Brasília
14,2020-03-22,2020-03-28,1.1199991355849757,0.09398823958913176,0.9433659338458192,0.9700143891726541,1.278948566254366,1.1173711296306383,1.278948566254366,1.278948566254366,1.3115657457088292,Brazil,DF,Brasília
15,2020-03-23,2020-03-29,1.310753284551985,0.09824511232271223,1.125263013434466,1.1534478536185957,1.476429000325888,1.3082995092396201,1.476429000325888,1.476429000325888,1.5101871663122628,Brazil,DF,Brasília
16,2020-03-24,2020-03-30,1.2191235071498134,0.09295729594960873,1.043733922267274,1.0703566823849529,1.3759469711782086,1.2167616804253292,1.3759469711782086,1.3759469711782086,1.407934170214099,Brazil,DF,Brasília
17,2020-03-25,2020-03-31,1.1494635686834074,0.08842027451410825,0.982692248752187,1.0079933208960619,1.2986649064997897,1.1471971788566886,1.2986649064997897,1.2986649064997897,1.3291136298348218,Brazil,DF,Brasília
